Flight,Plane,Time,Age,Fitness,TechSavvy,Experience,Impatience,TimePressure,Luggage,KioskAffinity,Speed
G9326,A320,2025-11-25T14:26:00+00:00,55,0.34,0.58,4,0.21,0.77,0.81,0.19,1.23
G9326,A320,2025-11-25T14:26:00+00:00,41,0.81,0.80,4,0.35,0.28,0.36,0.46,1.61
G9326,A320,2025-11-25T14:26:00+00:00,70,0.16,0.26,6,0.10,0.95,0.80,0.00,1.16
G9326,A320,2025-11-25T14:26:00+00:00,48,0.71,0.58,5,0.29,0.74,0.02,0.37,1.90
G9326,A320,2025-11-25T14:26:00+00:00,36,0.89,0.88,3,0.25,0.81,0.94,0.44,1.50
G9326,A320,2025-11-25T14:26:00+00:00,69,0.06,0.55,6,0.34,0.07,0.65,0.00,0.95
G9326,A320,2025-11-25T14:26:00+00:00,50,0.47,0.56,4,0.31,0.74,0.77,0.25,1.32
G9326,A320,2025-11-25T14:26:00+00:00,43,0.49,0.81,3,0.13,0.60,0.53,0.42,1.41
G9326,A320,2025-11-25T14:26:00+00:00,47,0.70,0.85,4,0.35,0.89,0.41,0.47,1.72
G9326,A320,2025-11-25T14:26:00+00:00,80,0.00,0.44,9,0.39,0.34,0.54,0.00,1.02
G9326,A320,2025-11-25T14:26:00+00:00,45,0.50,0.88,6,0.27,0.30,0.36,0.56,1.41
G9326,A320,2025-11-25T14:26:00+00:00,56,0.42,0.60,6,0.16,0.97,0.89,0.23,1.29
G9326,A320,2025-11-25T14:26:00+00:00,69,0.16,0.47,9,0.23,0.41,0.61,0.18,1.11
G9326,A320,2025-11-25T14:26:00+00:00,75,0.17,0.38,9,0.31,0.20,0.41,0.00,1.14
G9326,A320,2025-11-25T14:26:00+00:00,50,0.36,0.80,6,0.22,0.09,0.35,0.48,1.26
G9326,A320,2025-11-25T14:26:00+00:00,31,0.69,0.95,1,0.14,0.46,0.75,0.46,1.38
G9326,A320,2025-11-25T14:26:00+00:00,67,0.23,0.36,7,0.19,0.10,0.08,0.00,1.28
G9326,A320,2025-11-25T14:26:00+00:00,46,0.40,0.84,5,0.27,0.16,0.12,0.52,1.40
G9326,A320,2025-11-25T14:26:00+00:00,20,0.88,1.00,2,0.33,0.69,0.15,0.60,1.95
G9326,A320,2025-11-25T14:26:00+00:00,53,0.55,0.76,5,0.20,0.49,0.31,0.40,1.53
G9326,A320,2025-11-25T14:26:00+00:00,51,0.38,0.61,2,0.17,0.99,0.02,0.29,1.72
G9326,A320,2025-11-25T14:26:00+00:00,68,0.08,0.49,8,0.16,0.23,0.53,0.21,1.05
G9326,A320,2025-11-25T14:26:00+00:00,66,0.08,0.53,7,0.39,0.79,0.91,0.00,1.02
G9326,A320,2025-11-25T14:26:00+00:00,72,0.16,0.54,10,0.28,0.14,0.07,0.20,1.25
G9326,A320,2025-11-25T14:26:00+00:00,61,0.12,0.45,6,0.29,0.34,0.74,0.06,1.01
G9326,A320,2025-11-25T14:26:00+00:00,55,0.27,0.68,3,0.00,0.61,0.72,0.23,1.18
G9326,A320,2025-11-25T14:26:00+00:00,54,0.40,0.73,4,0.19,0.59,0.44,0.33,1.39
G9326,A320,2025-11-25T14:26:00+00:00,41,0.51,0.85,3,0.10,0.57,0.28,0.48,1.55
G9326,A320,2025-11-25T14:26:00+00:00,36,0.82,0.97,2,0.07,0.76,0.43,0.52,1.75
G9326,A320,2025-11-25T14:26:00+00:00,51,0.37,0.86,7,0.47,0.77,0.02,0.56,1.63
G9326,A320,2025-11-25T14:26:00+00:00,41,0.80,0.86,1,0.16,0.72,0.21,0.44,1.85
G9326,A320,2025-11-25T14:26:00+00:00,72,0.21,0.57,9,0.40,0.83,0.37,0.16,1.36
G9326,A320,2025-11-25T14:26:00+00:00,61,0.38,0.67,7,0.30,0.38,0.62,0.23,1.24
G9326,A320,2025-11-25T14:26:00+00:00,19,1.00,0.96,1,0.35,0.74,0.59,0.50,1.77
G9326,A320,2025-11-25T14:26:00+00:00,65,0.24,0.55,5,0.29,0.17,0.22,0.04,1.26
G9326,A320,2025-11-25T14:26:00+00:00,37,0.54,0.67,2,0.25,0.75,0.48,0.33,1.53
G9326,A320,2025-11-25T14:26:00+00:00,32,0.94,0.84,2,0.36,0.94,0.29,0.46,2.01
G9326,A320,2025-11-25T14:26:00+00:00,43,0.71,0.84,3,0.36,0.74,0.68,0.42,1.52
G9326,A320,2025-11-25T14:26:00+00:00,55,0.21,0.61,7,0.23,0.22,0.08,0.35,1.30
G9326,A320,2025-11-25T14:26:00+00:00,30,0.61,0.88,0,0.01,0.49,0.83,0.38,1.31
G9326,A320,2025-11-25T14:26:00+00:00,29,0.87,0.89,3,0.28,0.13,0.13,0.54,1.72
G9326,A320,2025-11-25T14:26:00+00:00,41,0.55,0.88,3,0.30,0.14,0.39,0.48,1.38
G9326,A320,2025-11-25T14:26:00+00:00,36,0.86,0.95,4,0.36,0.75,0.44,0.55,1.77
PC628,A21N,2025-11-24T02:01:00+00:00,55,0.59,0.78,8,0.53,0.01,0.63,0.68,1.25
PC628,A21N,2025-11-24T02:01:00+00:00,65,0.04,0.50,5,0.29,0.81,0.81,0.00,1.05
PC628,A21N,2025-11-24T02:01:00+00:00,20,1.00,1.00,1,0.24,0.73,0.33,0.55,1.94
PC628,A21N,2025-11-24T02:01:00+00:00,47,0.57,0.55,3,0.25,0.92,0.78,0.23,1.43
PC628,A21N,2025-11-24T02:01:00+00:00,70,0.21,0.47,7,0.29,0.72,0.76,0.00,1.15
PC628,A21N,2025-11-24T02:01:00+00:00,19,0.95,0.97,0,0.19,0.44,0.96,0.45,1.41
PC628,A21N,2025-11-24T02:01:00+00:00,71,0.26,0.50,9,0.44,0.91,0.50,0.14,1.35
PC628,A21N,2025-11-24T02:01:00+00:00,25,0.74,1.00,0,0.08,0.61,0.04,0.55,1.86
PC628,A21N,2025-11-24T02:01:00+00:00,31,0.88,0.96,3,0.22,0.04,0.40,0.55,1.54
PC628,A21N,2025-11-24T02:01:00+00:00,48,0.51,0.68,4,0.16,0.63,0.01,0.40,1.70
PC628,A21N,2025-11-24T02:01:00+00:00,78,0.00,0.25,10,0.39,0.03,0.98,0.00,0.80
PC628,A21N,2025-11-24T02:01:00+00:00,71,0.00,0.44,10,0.28,0.48,0.80,0.10,0.95
PC628,A21N,2025-11-24T02:01:00+00:00,53,0.24,0.71,5,0.16,0.17,0.44,0.36,1.17
PC628,A21N,2025-11-24T02:01:00+00:00,67,0.32,0.58,7,0.21,0.12,0.35,0.04,1.24
PC628,A21N,2025-11-24T02:01:00+00:00,48,0.67,0.75,5,0.35,0.49,0.32,0.44,1.61
PC628,A21N,2025-11-24T02:01:00+00:00,24,1.00,0.89,0,0.19,0.03,0.35,0.45,1.64
PC628,A21N,2025-11-24T02:01:00+00:00,62,0.38,0.47,5,0.05,0.77,0.61,0.03,1.35
PC628,A21N,2025-11-24T02:01:00+00:00,56,0.29,0.67,8,0.45,0.35,0.17,0.64,1.37
PC628,A21N,2025-11-24T02:01:00+00:00,63,0.08,0.46,7,0.16,0.87,0.99,0.01,1.01
PC628,A21N,2025-11-24T02:01:00+00:00,70,0.08,0.54,8,0.32,0.41,0.83,0.14,0.97
PC628,A21N,2025-11-24T02:01:00+00:00,20,0.81,1.00,0,0.09,0.69,0.50,0.51,1.68
PC628,A21N,2025-11-24T02:01:00+00:00,46,0.59,0.61,5,0.23,0.15,0.03,0.40,1.58
PC628,A21N,2025-11-24T02:01:00+00:00,63,0.45,0.45,9,0.24,0.60,0.90,0.31,1.21
PC628,A21N,2025-11-24T02:01:00+00:00,52,0.30,0.67,6,0.20,0.33,0.57,0.36,1.19
PC628,A21N,2025-11-24T02:01:00+00:00,18,1.00,0.92,0,0.09,0.47,0.27,0.49,1.87
PC628,A21N,2025-11-24T02:01:00+00:00,51,0.31,0.58,5,0.16,0.68,0.38,0.31,1.38
PC628,A21N,2025-11-24T02:01:00+00:00,32,0.77,0.82,0,0.02,0.68,0.27,0.40,1.78
PC628,A21N,2025-11-24T02:01:00+00:00,19,1.00,1.00,0,0.15,0.51,0.72,0.49,1.61
PC628,A21N,2025-11-24T02:01:00+00:00,25,0.87,1.00,3,0.28,0.42,0.31,0.59,1.73
PC628,A21N,2025-11-24T02:01:00+00:00,61,0.33,0.58,8,0.31,0.98,0.52,0.45,1.42
PC628,A21N,2025-11-24T02:01:00+00:00,39,0.53,0.88,1,0.29,0.55,0.84,0.39,1.27
PC628,A21N,2025-11-24T02:01:00+00:00,50,0.41,0.72,3,0.12,0.19,0.86,0.30,1.09
PC628,A21N,2025-11-24T02:01:00+00:00,39,0.79,0.64,1,0.19,0.64,0.41,0.29,1.71
PC628,A21N,2025-11-24T02:01:00+00:00,22,0.79,1.00,0,0.11,0.31,0.95,0.46,1.29
PC628,A21N,2025-11-24T02:01:00+00:00,47,0.73,0.62,2,0.19,0.77,0.00,0.33,1.94
PC628,A21N,2025-11-24T02:01:00+00:00,26,1.00,1.00,0,0.18,0.77,0.96,0.45,1.54
PC628,A21N,2025-11-24T02:01:00+00:00,24,0.97,0.98,2,0.31,0.77,0.19,0.57,2.02
PC628,A21N,2025-11-24T02:01:00+00:00,19,0.91,1.00,1,0.37,0.32,0.28,0.56,1.74
PC628,A21N,2025-11-24T02:01:00+00:00,45,0.64,0.65,6,0.24,0.60,0.98,0.35,1.27
PC628,A21N,2025-11-24T02:01:00+00:00,58,0.48,0.51,4,0.30,0.69,0.57,0.12,1.41
PC628,A21N,2025-11-24T02:01:00+00:00,55,0.54,0.64,6,0.24,0.39,0.15,0.34,1.57
PC628,A21N,2025-11-24T02:01:00+00:00,43,0.80,0.69,1,0.03,0.06,0.08,0.35,1.66
PC628,A21N,2025-11-24T02:01:00+00:00,73,0.00,0.58,10,0.44,0.98,0.92,0.10,1.01
PC628,A21N,2025-11-24T02:01:00+00:00,43,0.79,0.62,1,0.19,0.20,0.69,0.24,1.39
PC628,A21N,2025-11-24T02:01:00+00:00,43,0.78,0.69,3,0.12,0.75,0.99,0.30,1.39
PC628,A21N,2025-11-24T02:01:00+00:00,30,0.76,1.00,1,0.33,0.39,0.17,0.55,1.72
PC628,A21N,2025-11-24T02:01:00+00:00,49,0.64,0.69,6,0.30,0.66,0.13,0.44,1.75
PC628,A21N,2025-11-24T02:01:00+00:00,24,0.78,0.82,0,0.23,0.72,0.26,0.42,1.81
PC628,A21N,2025-11-24T02:01:00+00:00,36,0.54,0.80,5,0.47,0.52,0.72,0.46,1.33
PC628,A21N,2025-11-24T02:01:00+00:00,42,0.63,0.66,4,0.31,0.61,0.44,0.37,1.56
PC628,A21N,2025-11-24T02:01:00+00:00,50,0.54,0.74,3,0.25,0.65,0.79,0.32,1.32
PC628,A21N,2025-11-24T02:01:00+00:00,22,0.74,1.00,0,0.07,0.70,0.65,0.49,1.55
PC628,A21N,2025-11-24T02:01:00+00:00,40,0.51,0.90,6,0.50,0.63,0.26,0.58,1.58
PC628,A21N,2025-11-24T02:01:00+00:00,66,0.28,0.60,7,0.22,0.92,0.18,0.10,1.53
PC628,A21N,2025-11-24T02:01:00+00:00,34,0.55,0.71,1,0.06,0.99,0.26,0.36,1.73
PC628,A21N,2025-11-24T02:01:00+00:00,69,0.00,0.28,6,0.32,0.27,0.51,0.00,1.01
PC628,A21N,2025-11-24T02:01:00+00:00,75,0.00,0.48,10,0.39,0.70,0.68,0.00,1.05
PC628,A21N,2025-11-24T02:01:00+00:00,23,0.73,0.87,0,0.23,0.08,0.43,0.43,1.45
PC628,A21N,2025-11-24T02:01:00+00:00,58,0.47,0.57,5,0.10,0.77,0.02,0.24,1.72
PC628,A21N,2025-11-24T02:01:00+00:00,55,0.23,0.61,7,0.32,0.26,0.73,0.29,1.06
PC628,A21N,2025-11-24T02:01:00+00:00,60,0.46,0.65,6,0.10,0.53,0.90,0.18,1.19
PC628,A21N,2025-11-24T02:01:00+00:00,23,0.74,1.00,2,0.17,0.44,0.96,0.51,1.29
PC628,A21N,2025-11-24T02:01:00+00:00,20,1.00,1.00,1,0.23,0.45,0.30,0.56,1.85
PC628,A21N,2025-11-24T02:01:00+00:00,32,0.59,0.74,1,0.17,0.72,0.06,0.40,1.77
PC628,A21N,2025-11-24T02:01:00+00:00,48,0.37,0.67,2,0.03,0.58,0.73,0.28,1.23
PC628,A21N,2025-11-24T02:01:00+00:00,69,0.30,0.53,9,0.28,0.47,0.32,0.25,1.34
PC628,A21N,2025-11-24T02:01:00+00:00,63,0.18,0.71,9,0.31,0.61,0.51,0.51,1.22
PC628,A21N,2025-11-24T02:01:00+00:00,43,0.61,0.84,3,0.09,0.40,0.32,0.46,1.54
PC628,A21N,2025-11-24T02:01:00+00:00,26,0.94,0.97,1,0.28,0.62,0.62,0.49,1.67
PC628,A21N,2025-11-24T02:01:00+00:00,57,0.34,0.61,5,0.09,0.30,0.09,0.27,1.42
PC628,A21N,2025-11-24T02:01:00+00:00,54,0.38,0.48,4,0.09,0.61,0.28,0.20,1.46
PC628,A21N,2025-11-24T02:01:00+00:00,39,0.55,0.89,3,0.12,0.60,0.46,0.49,1.49
PC628,A21N,2025-11-24T02:01:00+00:00,34,0.60,0.76,3,0.33,0.40,0.06,0.46,1.67
PC628,A21N,2025-11-24T02:01:00+00:00,72,0.04,0.49,10,0.52,0.52,0.09,0.17,1.26
PC628,A21N,2025-11-24T02:01:00+00:00,53,0.32,0.62,5,0.27,0.65,0.55,0.29,1.31
PC628,A21N,2025-11-24T02:01:00+00:00,23,0.73,0.95,0,0.26,0.23,0.48,0.48,1.48
PC628,A21N,2025-11-24T02:01:00+00:00,27,0.92,0.96,2,0.24,0.78,0.74,0.50,1.64
PC628,A21N,2025-11-24T02:01:00+00:00,56,0.37,0.60,6,0.18,0.90,0.59,0.26,1.39
PC628,A21N,2025-11-24T02:01:00+00:00,80,0.00,0.19,9,0.23,0.15,0.27,0.00,1.07
PC628,A21N,2025-11-24T02:01:00+00:00,23,0.93,0.95,2,0.25,0.70,0.80,0.50,1.58
PC628,A21N,2025-11-24T02:01:00+00:00,37,0.52,0.72,1,0.05,0.12,0.87,0.30,1.13
PC628,A21N,2025-11-24T02:01:00+00:00,44,0.39,0.81,5,0.23,0.24,0.55,0.47,1.23
PC628,A21N,2025-11-24T02:01:00+00:00,31,0.71,1.00,2,0.28,0.99,0.82,0.51,1.52
PC628,A21N,2025-11-24T02:01:00+00:00,65,0.30,0.65,7,0.34,0.11,0.80,0.09,1.04
PC628,A21N,2025-11-24T02:01:00+00:00,19,0.82,1.00,0,0.27,0.73,0.79,0.48,1.53
PC628,A21N,2025-11-24T02:01:00+00:00,62,0.36,0.50,8,0.47,0.47,0.00,0.43,1.53
PC628,A21N,2025-11-24T02:01:00+00:00,68,0.32,0.42,8,0.21,0.39,0.65,0.16,1.19
PC628,A21N,2025-11-24T02:01:00+00:00,20,0.87,0.89,0,0.14,0.68,0.95,0.40,1.44
PC628,A21N,2025-11-24T02:01:00+00:00,35,0.70,0.97,3,0.13,0.20,0.69,0.52,1.34
PC628,A21N,2025-11-24T02:01:00+00:00,18,1.00,1.00,0,0.21,0.49,0.53,0.51,1.72
PC628,A21N,2025-11-24T02:01:00+00:00,20,0.90,0.98,0,0.34,0.19,0.58,0.49,1.51
PC628,A21N,2025-11-24T02:01:00+00:00,28,0.94,0.90,0,0.23,0.80,0.99,0.39,1.50
PC628,A21N,2025-11-24T02:01:00+00:00,40,0.71,0.89,3,0.36,0.21,0.76,0.45,1.31
PC628,A21N,2025-11-24T02:01:00+00:00,72,0.00,0.47,10,0.44,0.75,0.03,0.16,1.32
PC628,A21N,2025-11-24T02:01:00+00:00,43,0.67,0.60,1,0.10,0.53,0.15,0.28,1.72
PC628,A21N,2025-11-24T02:01:00+00:00,79,0.00,0.31,9,0.26,0.16,0.19,0.00,1.10
PC628,A21N,2025-11-24T02:01:00+00:00,32,0.69,0.98,2,0.34,0.22,0.87,0.49,1.25
PC628,A21N,2025-11-24T02:01:00+00:00,21,0.99,0.89,0,0.33,0.63,0.96,0.40,1.49
PC628,A21N,2025-11-24T02:01:00+00:00,65,0.10,0.52,9,0.36,0.91,0.45,0.35,1.26
PC628,A21N,2025-11-24T02:01:00+00:00,29,0.99,1.00,3,0.32,0.74,0.33,0.58,1.93
PC628,A21N,2025-11-24T02:01:00+00:00,79,0.06,0.47,10,0.22,0.87,0.95,0.00,1.01
PC628,A21N,2025-11-24T02:01:00+00:00,58,0.54,0.66,5,0.29,0.75,0.41,0.25,1.56
PC628,A21N,2025-11-24T02:01:00+00:00,37,0.79,0.96,5,0.30,0.73,0.11,0.62,1.92
PC628,A21N,2025-11-24T02:01:00+00:00,53,0.48,0.54,5,0.38,0.35,0.49,0.25,1.35
PC628,A21N,2025-11-24T02:01:00+00:00,64,0.29,0.37,5,0.21,0.47,0.64,0.00,1.20
PC628,A21N,2025-11-24T02:01:00+00:00,27,0.76,0.85,2,0.25,0.14,0.17,0.49,1.62
PC628,A21N,2025-11-24T02:01:00+00:00,63,0.08,0.52,6,0.13,0.20,0.17,0.10,1.17
PC628,A21N,2025-11-24T02:01:00+00:00,52,0.61,0.66,6,0.34,0.03,0.99,0.31,1.10
PC628,A21N,2025-11-24T02:01:00+00:00,36,0.67,0.97,4,0.18,0.89,0.17,0.59,1.84
PC628,A21N,2025-11-24T02:01:00+00:00,34,0.86,0.87,3,0.36,0.41,0.89,0.44,1.39
PC628,A21N,2025-11-24T02:01:00+00:00,80,0.00,0.30,10,0.39,0.35,0.00,0.00,1.22
PC628,A21N,2025-11-24T02:01:00+00:00,34,0.90,0.85,4,0.33,0.32,0.66,0.47,1.51
PC628,A21N,2025-11-24T02:01:00+00:00,47,0.67,0.53,2,0.10,0.09,0.43,0.23,1.42
PC628,A21N,2025-11-24T02:01:00+00:00,45,0.75,0.62,5,0.34,0.57,0.65,0.34,1.51
PC628,A21N,2025-11-24T02:01:00+00:00,52,0.62,0.55,5,0.33,0.47,0.13,0.31,1.67
PC628,A21N,2025-11-24T02:01:00+00:00,57,0.39,0.53,7,0.33,0.19,0.85,0.20,1.09
PC628,A21N,2025-11-24T02:01:00+00:00,68,0.23,0.54,8,0.41,0.55,0.77,0.22,1.13
PC628,A21N,2025-11-24T02:01:00+00:00,38,0.60,0.73,4,0.37,0.48,0.72,0.39,1.35
PC628,A21N,2025-11-24T02:01:00+00:00,66,0.03,0.47,7,0.27,0.86,0.77,0.00,1.06
PC628,A21N,2025-11-24T02:01:00+00:00,21,1.00,1.00,0,0.19,0.49,0.12,0.55,1.97
PC628,A21N,2025-11-24T02:01:00+00:00,20,0.87,0.92,0,0.17,0.09,0.64,0.45,1.42
PC628,A21N,2025-11-24T02:01:00+00:00,61,0.36,0.56,5,0.18,0.53,0.49,0.12,1.33
PC628,A21N,2025-11-24T02:01:00+00:00,36,0.82,0.96,4,0.42,0.14,0.39,0.57,1.55
PC628,A21N,2025-11-24T02:01:00+00:00,45,0.53,0.80,5,0.45,0.84,0.07,0.51,1.77
PC628,A21N,2025-11-24T02:01:00+00:00,45,0.74,0.64,3,0.15,0.65,0.38,0.33,1.69
PC628,A21N,2025-11-24T02:01:00+00:00,77,0.00,0.26,10,0.32,0.94,0.01,0.00,1.38
PC628,A21N,2025-11-24T02:01:00+00:00,75,0.13,0.36,10,0.23,0.93,0.13,0.00,1.44
PC628,A21N,2025-11-24T02:01:00+00:00,30,0.87,0.90,2,0.38,0.12,0.88,0.44,1.31
PC628,A21N,2025-11-24T02:01:00+00:00,76,0.04,0.34,7,0.22,0.10,0.85,0.00,0.87
PC628,A21N,2025-11-24T02:01:00+00:00,43,0.41,0.66,1,0.26,0.59,0.97,0.23,1.14
PC628,A21N,2025-11-24T02:01:00+00:00,67,0.20,0.56,9,0.43,0.79,0.25,0.34,1.40
PC628,A21N,2025-11-24T02:01:00+00:00,20,1.00,1.00,0,0.18,0.57,0.94,0.47,1.50
PC628,A21N,2025-11-24T02:01:00+00:00,73,0.00,0.31,8,0.29,0.07,0.63,0.00,0.92
PC628,A21N,2025-11-24T02:01:00+00:00,35,0.73,1.00,4,0.18,0.64,0.26,0.60,1.75
PC628,A21N,2025-11-24T02:01:00+00:00,59,0.20,0.61,5,0.17,0.95,0.88,0.16,1.15
PC628,A21N,2025-11-24T02:01:00+00:00,63,0.17,0.60,8,0.22,0.84,0.90,0.38,1.09
PC628,A21N,2025-11-24T02:01:00+00:00,46,0.52,0.68,3,0.30,0.53,0.04,0.39,1.67
PC628,A21N,2025-11-24T02:01:00+00:00,27,0.96,1.00,0,0.09,0.53,0.21,0.52,1.91
PC628,A21N,2025-11-24T02:01:00+00:00,30,0.81,1.00,2,0.28,0.74,0.76,0.51,1.55
PC628,A21N,2025-11-24T02:01:00+00:00,77,0.16,0.36,9,0.41,0.96,0.98,0.00,1.08
PC628,A21N,2025-11-24T02:01:00+00:00,33,0.56,0.92,0,0.09,0.12,0.97,0.39,1.11
PC628,A21N,2025-11-24T02:01:00+00:00,45,0.44,0.59,3,0.23,0.80,0.15,0.32,1.64
PC628,A21N,2025-11-24T02:01:00+00:00,43,0.54,0.68,2,0.17,0.00,0.52,0.32,1.27
PC628,A21N,2025-11-24T02:01:00+00:00,78,0.00,0.50,9,0.29,0.41,0.16,0.00,1.18
PC628,A21N,2025-11-24T02:01:00+00:00,46,0.64,0.62,3,0.32,0.83,0.05,0.35,1.86
PC628,A21N,2025-11-24T02:01:00+00:00,38,0.84,0.78,5,0.45,0.05,0.20,0.50,1.63
PC628,A21N,2025-11-24T02:01:00+00:00,76,0.24,0.32,10,0.33,0.11,0.20,0.00,1.25
PC628,A21N,2025-11-24T02:01:00+00:00,76,0.00,0.29,10,0.31,0.78,0.28,0.00,1.23
PC628,A21N,2025-11-24T02:01:00+00:00,25,1.00,0.92,2,0.30,0.15,0.23,0.53,1.76
PC628,A21N,2025-11-24T02:01:00+00:00,74,0.14,0.33,10,0.37,0.44,0.88,0.00,0.99
PC628,A21N,2025-11-24T02:01:00+00:00,55,0.33,0.69,5,0.22,0.82,0.77,0.29,1.26
PC628,A21N,2025-11-24T02:01:00+00:00,42,0.55,0.87,2,0.23,0.45,0.58,0.43,1.39
PC628,A21N,2025-11-24T02:01:00+00:00,30,0.85,1.00,4,0.47,0.58,0.54,0.59,1.65
PC628,A21N,2025-11-24T02:01:00+00:00,59,0.16,0.55,8,0.24,0.51,0.83,0.45,1.05
PC628,A21N,2025-11-24T02:01:00+00:00,63,0.46,0.62,9,0.39,0.28,1.00,0.41,1.08
PC628,A21N,2025-11-24T02:01:00+00:00,73,0.11,0.58,10,0.25,0.21,0.25,0.17,1.17
PC628,A21N,2025-11-24T02:01:00+00:00,19,1.00,0.99,0,0.14,0.52,0.67,0.49,1.64
PC628,A21N,2025-11-24T02:01:00+00:00,74,0.09,0.57,10,0.40,0.16,0.88,0.06,0.91
PC628,A21N,2025-11-24T02:01:00+00:00,58,0.50,0.47,6,0.26,0.97,0.85,0.12,1.36
PC628,A21N,2025-11-24T02:01:00+00:00,49,0.40,0.74,4,0.21,0.33,0.03,0.43,1.50
PC628,A21N,2025-11-24T02:01:00+00:00,72,0.03,0.39,10,0.29,0.93,0.47,0.06,1.21
PC628,A21N,2025-11-24T02:01:00+00:00,37,0.49,0.75,3,0.10,0.27,0.06,0.45,1.54
PC628,A21N,2025-11-24T02:01:00+00:00,79,0.00,0.22,8,0.09,0.19,0.36,0.00,1.04
PC628,A21N,2025-11-24T02:01:00+00:00,38,0.77,0.78,4,0.42,0.52,0.91,0.40,1.36
PC628,A21N,2025-11-24T02:01:00+00:00,72,0.10,0.48,10,0.27,0.96,0.57,0.11,1.22
PC628,A21N,2025-11-24T02:01:00+00:00,32,0.73,0.92,3,0.14,0.81,0.48,0.51,1.68
PC628,A21N,2025-11-24T02:01:00+00:00,67,0.28,0.50,5,0.14,0.51,0.93,0.00,1.07
PC628,A21N,2025-11-24T02:01:00+00:00,28,0.89,0.87,2,0.25,0.95,1.00,0.42,1.51
PC628,A21N,2025-11-24T02:01:00+00:00,22,1.00,0.96,2,0.37,0.21,0.14,0.57,1.84
PC628,A21N,2025-11-24T02:01:00+00:00,70,0.17,0.56,8,0.33,0.00,0.88,0.15,0.91
PC628,A21N,2025-11-24T02:01:00+00:00,71,0.30,0.58,10,0.43,0.05,0.17,0.25,1.28
PC628,A21N,2025-11-24T02:01:00+00:00,64,0.42,0.53,6,0.19,0.13,0.89,0.01,1.07
PC628,A21N,2025-11-24T02:01:00+00:00,43,0.61,0.64,3,0.14,0.23,0.67,0.30,1.31
PC628,A21N,2025-11-24T02:01:00+00:00,76,0.02,0.29,9,0.40,0.04,0.09,0.00,1.12
PC628,A21N,2025-11-24T02:01:00+00:00,43,0.42,0.75,4,0.13,0.54,0.44,0.42,1.40
PC628,A21N,2025-11-24T02:01:00+00:00,28,0.94,0.93,1,0.28,0.28,0.96,0.43,1.35
PC628,A21N,2025-11-24T02:01:00+00:00,24,0.97,1.00,3,0.21,0.15,0.23,0.60,1.74
PC628,A21N,2025-11-24T02:01:00+00:00,28,0.96,0.75,0,0.29,0.61,0.38,0.36,1.83
PC628,A21N,2025-11-24T02:01:00+00:00,22,1.00,1.00,0,0.31,0.79,0.17,0.54,2.07
PC628,A21N,2025-11-24T02:01:00+00:00,19,0.83,0.98,0,0.33,0.26,0.19,0.53,1.70
PC628,A21N,2025-11-24T02:01:00+00:00,52,0.44,0.63,2,0.20,0.63,0.02,0.29,1.65
PC628,A21N,2025-11-24T02:01:00+00:00,44,0.61,0.75,5,0.42,0.17,0.20,0.47,1.52
PC628,A21N,2025-11-24T02:01:00+00:00,43,0.46,0.60,1,0.20,0.49,0.91,0.21,1.17
PC628,A21N,2025-11-24T02:01:00+00:00,70,0.17,0.44,5,0.21,0.07,0.15,0.00,1.21
PC628,A21N,2025-11-24T02:01:00+00:00,65,0.06,0.47,5,0.30,0.56,0.87,0.00,0.98
PC628,A21N,2025-11-24T02:01:00+00:00,26,0.83,1.00,2,0.14,0.26,0.71,0.53,1.43
PC628,A21N,2025-11-24T02:01:00+00:00,34,0.64,0.85,4,0.39,0.82,0.93,0.45,1.36
PC628,A21N,2025-11-24T02:01:00+00:00,52,0.42,0.70,7,0.28,0.50,0.16,0.44,1.51
PC628,A21N,2025-11-24T02:01:00+00:00,78,0.01,0.24,10,0.34,0.25,0.93,0.00,0.86
PC628,A21N,2025-11-24T02:01:00+00:00,75,0.18,0.42,8,0.20,0.73,0.01,0.00,1.47
PC628,A21N,2025-11-24T02:01:00+00:00,26,0.70,0.98,0,0.17,0.28,0.57,0.48,1.42
PC628,A21N,2025-11-24T02:01:00+00:00,78,0.08,0.25,8,0.16,0.11,0.89,0.00,0.89
PC628,A21N,2025-11-24T02:01:00+00:00,27,0.72,0.81,1,0.29,0.07,0.95,0.36,1.18
PC628,A21N,2025-11-24T02:01:00+00:00,19,0.82,0.98,0,0.11,0.16,0.12,0.54,1.70
PC628,A21N,2025-11-24T02:01:00+00:00,19,1.00,0.95,1,0.14,0.14,0.40,0.52,1.66
PC628,A21N,2025-11-24T02:01:00+00:00,39,0.83,0.88,1,0.14,0.49,0.64,0.41,1.54
PC628,A21N,2025-11-24T02:01:00+00:00,77,0.13,0.34,10,0.32,0.26,0.19,0.00,1.22
PC628,A21N,2025-11-24T02:01:00+00:00,33,0.69,0.66,0,0.24,0.97,0.79,0.25,1.52
PC628,A21N,2025-11-24T02:01:00+00:00,21,0.76,1.00,1,0.24,0.96,0.72,0.51,1.60
PC628,A21N,2025-11-24T02:01:00+00:00,67,0.38,0.39,7,0.19,0.80,0.63,0.00,1.34
PC628,A21N,2025-11-24T02:01:00+00:00,64,0.32,0.67,8,0.29,0.89,0.39,0.45,1.45
PC628,A21N,2025-11-24T02:01:00+00:00,58,0.47,0.46,5,0.24,0.74,0.17,0.16,1.63
